disease,common_symptom,Description
Pilar Cyst,"Cystic nodules on the scalp, mostly solitary, more common in females","A trichilemmal cyst (or pilar cyst) is a common cyst that forms from a hair follicle, most often on the scalp, and is smooth, mobile, and filled with keratin, a protein component found in hair, nails, skin, and horns. Trichilemmal cysts are clinically and histologically distinct from trichilemmal horns, hard tissue that is much rarer and not limited to the scalp. Rarely, these cysts may grow more extensively and form rapidly multiplying trichilemmal tumors, also called proliferating trichilemmal cysts, which are benign, but may grow aggressively at the cyst site. Very rarely, trichilemmal cysts can become cancerous.


== Classification ==
Trichilemmal cysts may be classified as sebaceous cysts, although technically speaking are not sebaceous."
Secondary Glaucoma with Iris and Ciliary Body Inflammation,"Headache, nausea and vomiting, blurred vision, rainbow vision","Glaucoma is a group of eye diseases that can lead to damage of the optic nerve. The optic nerve transmits visual information from the eye to the brain. Glaucoma may cause vision loss if left untreated. It has been called the ""silent thief of sight"" because the loss of vision usually occurs slowly over a long period of time. A major risk factor for glaucoma is increased pressure within the eye, known as intraocular pressure (IOP)."
Status Asthmaticus,"Shortness of breath, tachycardia, wheezing, disturbance of consciousness, hypotension, tracheal tug, excessive sweating, and mouth breathing","Acute severe asthma, also known as status asthmaticus, is an acute exacerbation of asthma that does not respond to standard treatments of bronchodilators (inhalers) and corticosteroids. Asthma is caused by multiple genes, some having protective effect, with each gene having its own tendency to be influenced by the environment although a genetic link leading to acute severe asthma is still unknown. Symptoms include chest tightness, rapidly progressive dyspnea (shortness of breath), dry cough, use of accessory respiratory muscles, fast and/or labored breathing, and extreme wheezing. It is a life-threatening episode of airway obstruction and is considered a medical emergency. Complications include cardiac and/or respiratory arrest."
Lung Cancer in the Elderly,"Cough, expectoration, hemoptysis, fever, rhonchus, lymphadenopathy, hemoptysis, chest tightness, hoarseness","Limited-stage small cell lung carcinoma (LS-SCLC) is a type of small cell lung cancer (SCLC) that is confined to an area which is small enough to be encompassed within a radiation portal. This generally includes cancer to one side of the lung and those might have reached the lymph nodes on the same side of the lung. 33% patients with small cell lung cancer are diagnosed with limited-stage small cell lung carcinoma when it is first found.  Common symptoms include but are not limited to persistent cough, chest pain, rust-coloured sputum, shortness of breath, fatigue, weight loss, wheezing, hoarseness and recurrent respiratory tract infections such as pneumonia and bronchitis. Nervous system problems, Cushing syndrome and SIADH (syndrome of inappropriate anti-diuretic hormone) can also be associated with small cell lung cancer."
Bladder Cough,"Cough, urinary incontinence, bladder dysfunction, mega bladder","A cough is a sudden expulsion of air through the large breathing passages which can help clear them of fluids, irritants, foreign particles and microbes. As a protective reflex, coughing can be repetitive with the cough reflex following three phases: an inhalation, a forced exhalation against a closed glottis, and a violent release of air from the lungs following opening of the glottis, usually accompanied by a distinctive sound.
Frequent coughing usually indicates the presence of a disease. Many viruses and bacteria benefit, from an evolutionary perspective, by causing the host to cough, which helps to spread the disease to new hosts. Irregular coughing is usually caused by a respiratory tract infection but can also be triggered by choking, smoking, air pollution, asthma, gastroesophageal reflux disease, post-nasal drip, chronic bronchitis, lung tumors, heart failure and medications such as angiotensin-converting-enzyme inhibitors (ACE inhibitors) and beta blockers."
Secondary Myelofibrosis,"Fatigue, fever, weight loss, anemia, weakness, night sweats, palpitations, pallor, dyspnea, abdominal pain, abdominal mass, bone pain, jaundice","Primary myelofibrosis (PMF) is a rare bone marrow blood cancer. It is classified by the World Health Organization (WHO) as a type of myeloproliferative neoplasm, a group of cancers in which there is activation and growth of mutated cells in the bone marrow. This is most often associated with a somatic mutation in the JAK2, CALR, or MPL genes. In PMF, the bony aspects of bone marrow are remodeled in a process called osteosclerosis; in addition, fibroblasts secrete collagen and reticulin proteins that are collectively referred to as fibrosis. These two pathological processes compromise the normal function of bone marrow, resulting in decreased production of blood cells such as erythrocytes (red cells), granulocytes, and megakaryocytes."
Acute Stress Reaction,"Stupor, consciousness disorder, clouding of consciousness, disorientation, speaking in monosyllables or disconnected phrases, tense expression, disorganized movements, restlessness, impulsive destructive behavior, sitting or lying down immobile","Acute stress reaction (ASR), also known as psychological shock, mental shock, or simply shock, as well as acute stress disorder (ASD), is a psychological response to a terrifying, traumatic, or surprising experience. The reactions may include but are not limited to intrusive thoughts, or dissociation, and reactivity symptoms such as avoidance or hyperarousal. It may be exhibited for days or weeks after the traumatic event. If the condition is not correctly addressed, it may develop into post-traumatic stress disorder (PTSD).


== Diagnosis ==
The International Classification of Diseases (ICD) treats this condition differently from the Diagnostic and Statistical Manual of Mental Disorders (DSM)."
Synovial Sarcoma,"Pain in the buttocks, shoulder girdle, upper limbs, ankle joints, hip joints, shoulder joints, swelling of the dorsum of the foot at the ankle joint, lateral swelling and tenderness of the hip","A synovial sarcoma (also known as malignant synovioma) is a rare form of cancer which occurs primarily in the extremities of the arms or legs, often in proximity to joint capsules and tendon sheaths. It is a type of soft-tissue sarcoma.
The name ""synovial sarcoma"" was coined early in the 20th century, as some researchers thought that the microscopic similarity of some tumors to synovium, and its propensity to arise adjacent to joints, indicated a synovial origin; however, the actual cells from which the tumor develops are unknown and not necessarily synovial.
Primary synovial sarcomas are most common in the soft tissue near the large joints of the arm and leg but have been documented in most human tissues and organs, including the brain, prostate, and heart.
Synovial sarcoma occurs in about 12 per 1,000,000 people a year."
Wasting Syndrome,"Excessive thirst and hunger, ability to eat but losing weight","Cachexia () is a syndrome that happens when people have certain illnesses, causing muscle loss that cannot be fully reversed with improved nutrition. It is most common in diseases like cancer, congestive heart failure, chronic obstructive pulmonary disease, chronic kidney disease, and AIDS.  These conditions change how the body handles inflammation, metabolism, and brain signaling, leading to muscle loss and other harmful changes to body composition over time. Unlike weight loss from not eating enough, cachexia mainly affects muscle and can happen with or without fat loss. Diagnosis of cachexia is difficult because there are no clear guidelines, and its occurrence varies from one affected person to the next.
Like malnutrition, cachexia can lead to worse health outcomes and lower quality of life."
Mesenchymal Chondrosarcoma,"Persistent pain, swelling, lumps, and joint stiffness lasting months to years","A bone sarcoma is a primary  malignant bone tumour, a type of sarcoma that starts in the bones. This is in contrast to most bone cancers that are  secondary having developed as a metastasis from another cancer. Bone sarcomas are rare, and mostly affect the legs. The other type of sarcoma is a soft-tissue sarcoma.
There are three main types of bone sarcoma based on tissue type  an osteosarcoma, a Ewing's sarcoma, and a chondrosarcoma."
Chronic Heart Failure,"Post-activity shortness of breath, exertional dyspnea, hepatomegaly, lower limb edema, cardiac failure, coma, shock, abnormal breathing, arrhythmia, syncope, vertigo","Heart failure (HF), also known as congestive heart failure (CHF), is a syndrome caused by an impairment in the heart's ability to fill with and pump blood.
Although symptoms vary based on which side of the heart is affected, HF typically presents with shortness of breath, excessive fatigue, and bilateral leg swelling. The severity of the heart failure is mainly decided based on ejection fraction and also measured by the severity of symptoms. Other conditions that have symptoms similar to heart failure include obesity, kidney failure, liver disease, anemia, and thyroid disease.
Common causes of heart failure include coronary artery disease, heart attack, high blood pressure, atrial fibrillation, valvular heart disease, excessive alcohol consumption, infection, and cardiomyopathy."
Splenic Rupture,"Shock, abdominal pain, internal bleeding, signs of peritoneal irritation, upper left abdominal pain, abdominal tenderness, abdominal muscle tension, referred shoulder pain","A splenic injury, which includes a ruptured spleen, is any injury to the spleen. The rupture of a normal spleen can be caused by trauma, such as a traffic collision.


== Signs and symptoms ==
In minor injuries with little bleeding, there may be abdominal pain, tenderness in the epigastrium and pain in the left flank. Often there is a sharp pain in the left shoulder, known as Kehr's sign. In larger injuries with more extensive bleeding, signs of hypovolemic shock are most prominent."
Lymphatic Metastasis Cancer,"Anemia, Leukopenia, Thrombocytopenia, Bone Pain","Metastasis is a pathogenic agent's spreading from an initial or primary site to a different or secondary site within the host's body; the term is typically used when referring to metastasis by a cancerous tumor.  The newly pathological sites, then, are metastases (mets). It is generally distinguished from cancer invasion, which is the direct extension and penetration by cancer cells into neighboring tissues.
Cancer occurs after cells are genetically altered to proliferate rapidly and indefinitely. This uncontrolled proliferation by mitosis produces a primary heterogeneic tumour."
Fuchs Heterochromic Iridocyclitis,"Blurred vision, floaters, decreased visual acuity, posterior corneal precipitates","Fuchs heterochromic iridocyclitis (FHI) is a chronic unilateral uveitis appearing with the triad of heterochromia, predisposition to cataract and glaucoma, and keratitic precipitates on the posterior corneal surface. Patients are often asymptomatic and the disease is often discovered through investigation of the cause of the heterochromia or cataract. Neovascularisation (growth of new abnormal vessels) is possible and any eye surgery, such as cataract surgery, can cause bleeding from the fragile vessels in the atrophic iris causing accumulation of blood in the anterior chamber of the eye, also known as hyphema.


== Presentation ==
This condition is usually unilateral, and its symptoms vary from none to mild blurring and discomfort. Signs include diffuse iris atrophy and small white keratic precipitates (deposits on the inner surface of the cornea), cells presenting in the anterior chamber as well as the anterior vitreous."
Cutaneous Lymphoid Granulomatosis,"Ulcers, itching, emaciation, fatigue, loss of appetite, low-grade fever, night sweats, cough, and dyspnea","Tumors of the hematopoietic and lymphoid tissues (American English) or tumours of the haematopoietic and lymphoid tissues (British English) are tumors that affect the blood, bone marrow, lymph, and lymphatic system. Because these tissues are all intimately connected through both the circulatory system and the immune system, a disease affecting one will often affect the others as well, making aplasia, myeloproliferation and lymphoproliferation (and thus the leukemias, myelomas, and the lymphomas) closely related and often overlapping problems.
While uncommon in solid tumors, chromosomal translocations are a common cause of these diseases. This commonly leads to a different approach in diagnosis and treatment of hematological malignancies.
Hematological malignancies are malignant neoplasms (""cancer""), and they are generally treated by specialists in hematology and/or oncology."
Breast Hamartoma,"Presence of a mass in the breast, the tumor is round or oval, encapsulated, with a soft and uneven texture, and it grows slowly.","A hamartoma is a mostly benign, local malformation of cells that resembles a neoplasm of local tissue but is usually due to an overgrowth of multiple aberrant cells, with a basis in a systemic genetic condition, rather than a growth descended from a single mutated cell (monoclonality), as would typically define a benign neoplasm/tumor. Despite this, many hamartomas are found to have clonal chromosomal aberrations that are acquired through somatic mutations, and on this basis the term hamartoma is sometimes considered synonymous with neoplasm. Hamartomas are by definition benign, slow-growing or self-limiting, though the underlying condition may still predispose the individual towards malignancies.
Hamartomas are usually caused by a genetic syndrome that affects the development cycle of all or at least multiple cells. Many of these conditions are classified as overgrowth syndromes or cancer syndromes."
Pediatric Drug Rash,"Erythema, low fever, vomiting","Drug rash with eosinophilia and systemic symptoms or drug reaction with eosinophilia and systemic symptoms (DRESS), also termed drug-induced hypersensitivity syndrome (DIHS), is a rare reaction to certain medications. It involves primarily a widespread skin rash, fever, swollen lymph nodes, and characteristic blood abnormalities such as an abnormally high level of eosinophils, low number of platelets, and increased number of atypical white blood cells (lymphocytes). However, DRESS is often complicated by potentially life-threatening inflammation of internal organs and the syndrome has about a 10% mortality rate. Treatment consists of stopping the offending medication and providing supportive care. Systemic corticosteroids are commonly used as well but no controlled clinical trials have assessed the efficacy of this treatment."
Penile Cancer,"Superficial penile ulcers, inguinal lymphadenopathy, penile anomaly, penile pain, fever, ulceration","Penile cancer, or penile carcinoma, is a cancer that develops in the skin or tissues of the penis. Symptoms may include abnormal growth, an ulcer or sore on the skin of the penis, and bleeding or foul smelling discharge.
Risk factors include phimosis (inability to retract foreskin of the penis), chronic inflammation, smoking, HPV infection, condylomata acuminate, having multiple sexual partners, and early age of sexual intercourse.
Around 95% of penile cancers are squamous-cell carcinomas. Other types of penile cancer such as Merkel-cell carcinoma, small-cell carcinoma, and melanoma are generally rare."
Oral Leukoplakia,"Inflammatory cell infiltration, pale and swollen tongue, root of the tongue abscess, white patches, erosion, pain","Oral leukoplakia is a potentially malignant disorder affecting the oral mucosa. It is defined as ""essentially an oral mucosal white/gray lesion that cannot be considered as any other definable lesion."" Oral leukoplakia is a gray patch or plaque that develops in the oral cavity and is strongly associated with smoking. Leukoplakia is a firmly attached white patch on a mucous membrane which is associated with increased risk of cancer. The edges of the lesion are typically abrupt and the lesion changes with time. Advanced forms may develop red patches."
Pulmonary Aspergillosis,"Cough with phlegm, cough, dyspnea, fever, weight loss, hemoptysis, coma, anorexia, chest tightness, convulsion","Aspergillosis is a fungal infection of usually the lungs, caused by the genus Aspergillus, a common mold that is breathed in frequently from the air, but does not usually affect most people. It generally occurs in people with lung diseases such as asthma, cystic fibrosis or tuberculosis, or those who are immunocompromised such as those who have had a stem cell or organ transplant or those who take medications such as steroids and some cancer treatments which suppress the immune system. Rarely, it can affect skin.
Aspergillosis occurs in humans, birds and other animals. Aspergillosis occurs in chronic or acute forms which are clinically very distinct."
Hodgkin's Lymphoma,"Night sweats, low-grade fever, nausea, abdominal pain, dry cough, high fever, herpes, itchy skin","Hodgkin lymphoma (HL) is a type of lymphoma in which cancer originates from a specific type of white blood cell called lymphocytes, where multinucleated ReedSternberg cells (RS cells) are present in the lymph nodes. The condition was named after the English physician Thomas Hodgkin, who first described it in 1832. Symptoms may include fever, night sweats, and weight loss. Often, non-painful enlarged lymph nodes occur in the neck, under the arm, or in the groin. Persons affected may feel tired or be itchy."
Crush Syndrome,"Crush injury, skin indentation, circulatory congestion, increased skin turgor, dizziness, general malaise, respiratory failure, anemia, dizziness, hematoma, abdominal pain, acute renal failure","Crush syndrome (also traumatic rhabdomyolysis or Bywaters' syndrome) is a medical condition characterized by major shock and kidney failure after a crushing injury to skeletal muscle. It should not be confused with crush injury, which is the compression of the arms, legs, or other parts of the body that causes muscle swelling and/or neurological disturbances in the affected areas of the body, while crush syndrome is a localized crush injury with systemic manifestations. Cases occur commonly in catastrophes such as earthquakes, to individuals who have been trapped under fallen or moving masonry.
People with crushing damage present some of the greatest challenges in field medicine, and may need a physician's attention on the site of their injury. Appropriate physiological preparation of the injured is mandatory."
Infant Botulism Syndrome,"Constipation, difficulty swallowing, ptosis","Botulism is a rare and potentially fatal illness caused by botulinum toxin, which is produced by the bacterium Clostridium botulinum. The disease begins with weakness, blurred vision, feeling tired, and trouble speaking. This may then be followed by weakness of the arms, chest muscles, and legs. Vomiting, swelling of the abdomen, and diarrhea may also occur. The disease does not usually affect consciousness or cause a fever."
Adamantinoma of the Long Bones,"Muscle atrophy, slow growth, joint pain","Adamantinoma (from Greek  adamantinos 'very hard') is a rare bone cancer, making up less than 1% of all bone cancers. It almost always occurs in the bones of the lower leg and involves both epithelial and osteofibrous tissue.
The condition was first described by Fischer in 1913.


== Presentation ==
Patients typically present with swelling with or without pain. The slow-growing tumor predominantly arises in long bones in a subcortical location (95% in the tibia or fibula)."
Pediatric Metastatic Bone Tumors,"Weakness, persistent pain, muscle atrophy, tumor compression","Ewing sarcoma is a type of pediatric cancer that forms in bone or soft tissue. Symptoms may include swelling and pain at the site of the tumor, fever, and a bone fracture. The most common areas where it begins are the legs, pelvis, and chest wall. In about 25% of cases, the cancer has already spread to other parts of the body at the time of diagnosis. Complications may include a pleural effusion or paraplegia."
Progressive Multifocal Leukoencephalopathy (PML),"Ataxia, paralysis, visual impairments, sensory disturbances","Progressive multifocal leukoencephalopathy (PML) is a rare and often fatal viral disease characterized by progressive damage (-pathy) or inflammation of the white matter (leuko-) of the brain (-encephalo-) at multiple locations (multifocal). It is caused by the JC virus, which is normally present and kept under control by the immune system. The JC virus is harmless except in cases of weakened immune systems. In general, PML has a mortality rate of 3050% in the first few months, and those who survive can be left with varying degrees of neurological disabilities.
PML occurs almost exclusively in patients with severe immune deficiency, most commonly among patients with acquired immune deficiency syndrome (AIDS), but people on chronic immunosuppressive medications including chemotherapy are also at increased risk of PML, such as patients with transplants, Hodgkin's lymphoma, multiple sclerosis, psoriasis, rheumatoid arthritis, and other autoimmune diseases."
Osteosarcoma of Blood Vessels,"Local pain and swelling, sometimes palpable pulsation of vessels and audible vascular murmurs, obvious tenderness, limb movement disorders","A sarcoma is a rare type of cancer that arises from cells of mesenchymal origin. Originating from mesenchymal cells means that sarcomas are cancers of connective tissues such as bone, cartilage, muscle, fat, or vascular tissues. 
Sarcomas are one of five different types of cancer, classified by the cell type from which they originate. While there are five types under this category, sarcomas are most frequently contrasted with carcinomas which are much more common. Sarcomas are quite rare, making up about 1% of all adult cancer diagnoses and 15% of childhood cancer diagnoses."
Pilomatricoma,"Single, isolated nodule","Pilomatricoma is a benign skin tumor derived from the hair matrix. These neoplasms are relatively uncommon and typically occur on the scalp, face, and upper extremities. Clinically, pilomatricomas present as a subcutaneous nodule or cyst with unremarkable overlying epidermis that can range in size from 0.5 to 3.0 cm, but the largest reported case was 24 cm.


== Presentation ==


=== Associations ===
Pilomatricomas have been observed in a variety of genetic disorders including Turner syndrome, myotonic dystrophy, RubinsteinTaybi syndrome, trisomy 9, and Gardner syndrome. It has been reported that the prevalence of pilomatricomas in Turner syndrome is 2.6%."
Multiple Gastrointestinal Polyposis Syndrome,"Abdominal pain, nausea and vomiting, diarrhea, tingling, abdominal discomfort, anorexia, watery stool, bloody stool, discoloration of nails","Gardner's syndrome (also known as Gardner syndrome, familial polyposis of the colon, or familial colorectal polyposis) is a subtype of familial adenomatous polyposis (FAP). Gardner syndrome is an autosomal dominant form of polyposis characterized by the presence of multiple polyps in the colon together with tumors outside the colon. The extracolonic tumors may include osteomas of the skull, thyroid cancer, epidermoid cysts, fibromas, as well as the occurrence of desmoid tumors in approximately 15% of affected individuals.
Desmoid tumors are fibrous tumors that usually occur in the tissue covering the intestines and may be provoked by surgery to remove the colon. The countless polyps in the colon predispose to the development of colon cancer; if the colon is not removed, the chance of colon cancer is considered to be very significant."
Intestinal Tumor,"Abdominal mass, severe pain, anemia, bloody stools, frequent and malformed bowel movements, weight loss and fatigue","Colorectal cancer (CRC), also known as bowel cancer, colon cancer, or rectal cancer, is the development of cancer from the colon or rectum (parts of the large intestine). Signs and symptoms may include blood in the stool, a change in bowel movements, weight loss, abdominal pain and fatigue. Most colorectal cancers are due to lifestyle factors and genetic disorders. Risk factors include diet, obesity, smoking, and lack of physical activity. Dietary factors that increase the risk include red meat, processed meat, and alcohol."
Patent Ductus Arteriosus (PDA),"Cyanosis, clubbing of fingers and toes, heart murmur, patent ductus arteriosus, bounding pulse, capillary pulsation","Patent ductus arteriosus (PDA) is a medical condition in which the ductus arteriosus fails to close after birth: this allows a portion of oxygenated blood from the left heart to flow back to the lungs from the aorta, which has a higher blood pressure, to the pulmonary artery, which has a lower blood pressure. Symptoms are uncommon at birth and shortly thereafter, but later in the first year of life there is often the onset of an increased work of breathing and failure to gain weight at a normal rate. With time, an uncorrected PDA usually leads to pulmonary hypertension followed by right-sided heart failure.
The ductus arteriosus is a fetal blood vessel that normally closes soon after birth. This closure is caused by vessel constriction immediately after birth as circulation changes occur, followed by the occlusion of the vessels lumen in the following days."
Mushroom Poisoning,"Nausea and vomiting, abdominal pain, diarrhea, hepatotoxicity, coma, syncope, pupillary abnormalities, chest pain, headache, respiratory distress, jaundice, elevated transaminase","Mushroom poisoning is poisoning resulting from the ingestion of mushrooms that contain toxic substances. Symptoms can vary from slight gastrointestinal discomfort to death in about 10 days. Mushroom toxins are secondary metabolites produced by the fungus.
Mushroom poisoning is usually the result of ingestion of wild mushrooms after misidentification of a toxic mushroom as an edible species. The most common reason for this misidentification is a close resemblance in terms of color and general morphology of the toxic mushrooms species with edible species."
Drug-Induced Cardiomyopathy,"Arrhythmias, hypotension, supraventricular arrhythmias, sudden death, sinoatrial node disease, cardiac murmurs, palpitations, easy fainting, cardiac enlargement, heart failure, myocardial hypertrophy, poor perfusion of peripheral tissues","Takotsubo cardiomyopathy or takotsubo syndrome (TTS), also known as stress cardiomyopathy, is a type of non-ischemic cardiomyopathy in which there is a sudden temporary weakening of the muscular portion of the heart. It usually appears after a significant stressor, either physical or emotional; when caused by the latter, the condition is sometimes called broken heart syndrome. 
Examples of physical stressors that can cause TTS are sepsis, shock, subarachnoid hemorrhage, and pheochromocytoma. Emotional stressors include bereavement, divorce, or the loss of a job. Reviews suggest that of patients diagnosed with the condition, about 7080% recently experienced a major stressor, including 4150% with a physical stressor and 2630% with an emotional stressor."
Appendiceal Adenocarcinoma,"Cachexia, fatigue, ascites, loss of appetite, abdominal pain","Appendix cancer, also known as appendiceal cancer, is a very rare malignant tumor that forms in the vermiform appendix.
Gastrointestinal stromal tumors are rare tumors with malignant potential. Primary lymphomas can occur in the appendix. Breast cancer, colon cancer, and tumors of the female genital tract may metastasize to the appendix.


== Diagnosis ==

Carcinoid tumors are the most common tumors of the appendix."
Epidermal Nevus,"Papules, oral leukoplakia, skin nevus","Nevus (pl.: nevi) is a nonspecific medical term for a visible, circumscribed, chronic lesion of the skin or mucosa. The term originates from nvus, which is Latin for ""birthmark""; however, a nevus can be either congenital (present at birth) or acquired. Common terms, including mole, birthmark, and beauty mark, are used to describe nevi, but these terms do not distinguish specific types of nevi from one another.


== Classification ==
The term nevus is applied to a number of conditions caused by neoplasias and hyperplasias of melanocytes, as well as a number of pigmentation disorders, both hypermelanotic (containing increased melanin, the pigment responsible for skin color) and hypomelanotic (containing decreased melanin). Suspicious skin moles which are multi-colored or pink may be a finding in skin cancer."
Acute Decompression Osteonecrosis,"Neuralgia, joint pain, dermatogenic contracture","Decompression sickness (DCS; also called divers' disease, the bends, aerobullosis, and caisson disease) is a medical condition caused by dissolved gases emerging from solution as bubbles inside the body tissues during decompression. DCS most commonly occurs during or soon after a decompression ascent from underwater diving, but can also result from other causes of depressurisation, such as emerging from a caisson, decompression from saturation, flying in an unpressurised aircraft at high altitude, and extravehicular activity from spacecraft. DCS and arterial gas embolism are collectively referred to as decompression illness.
Since bubbles can form in or migrate to any part of the body, DCS can produce many symptoms, and its effects may vary from joint pain and rashes to paralysis and death. DCS often causes air bubbles to settle in major joints like knees or elbows, causing individuals to bend over in excruciating pain, hence its common name, the bends."
Intraepithelial Carcinoma,"Swelling of skin tissue, fever, chest tightness, palpitation","Pancreatic cancer arises when cells in the pancreas, a glandular organ behind the stomach, begin to multiply out of control and form a mass. These cancerous cells have the ability to invade other parts of the body. A number of types of pancreatic cancer are known.
The most common, pancreatic adenocarcinoma, accounts for about 90% of cases, and the term ""pancreatic cancer"" is sometimes used to refer only to that type. These adenocarcinomas start within the part of the pancreas that makes digestive enzymes."
Hypertensive Crisis,"High blood pressure, headache, nausea and vomiting, visual disturbances, restlessness, excessive sweating, dry mouth, palpitations, chills, limb tremors, papilledema, retinal hemorrhage","Severely elevated blood pressure (equal to or greater than 180 mmHg systolic or 120 mmHg diastolic) is referred to as a hypertensive crisis (sometimes termed malignant or accelerated hypertension), due to the high risk of complications. People with blood pressures in this range may have no symptoms, but are more likely to report headaches (22% of cases) and dizziness than the general population. Other symptoms accompanying a hypertensive crisis may include visual deterioration due to retinopathy, breathlessness due to heart failure, or a general feeling of malaise due to kidney failure.
Most people with a hypertensive crisis are known to have elevated blood pressure, but additional triggers may have led to a sudden rise.


== Symptoms and treatment ==
A ""hypertensive emergency"" is diagnosed when there is evidence of direct damage to one or more organs as a result of severely elevated blood pressure greater than 180 mmHg systolic or 120 mmHg diastolic."
Atrophic Gastritis,"Epigastric burning, distension, dull pain, or fullness, especially after eating, loss of appetite, nausea, belching, constipation, severe cases may include weight loss, anemia, and patients with gastric mucosal erosion may experience upper gastrointestinal bleeding","Atrophic gastritis  is a process of chronic inflammation of the gastric mucosa of the stomach, leading to a loss of gastric glandular cells and their eventual replacement by intestinal and fibrous tissues. As a result, the stomach's secretion of essential substances such as hydrochloric acid, pepsin, and intrinsic factor is impaired, leading to digestive problems. The most common are pernicious anemia possibly leading to vitamin B12 deficiency; and malabsorption of iron, leading to iron deficiency anaemia. It can be caused by persistent infection with Helicobacter pylori, or can be autoimmune in origin. Those with autoimmune atrophic gastritis (Type A gastritis) are statistically more likely to develop gastric carcinoma (a form of stomach cancer), Hashimoto's thyroiditis, and achlorhydria."
Primary Hepatic Liposarcoma,"Emaciation, pain in the right upper abdomen, radiating pain, decreased appetite, fatigue, intractable hiccup, palmar erythema, spider angiomas","The International Classification of Diseases for Oncology (ICD-O) is a domain-specific extension of the International Statistical Classification of Diseases and Related Health Problems for tumor diseases. This classification is widely used by cancer registries.
It is currently in its third revision (ICD-O-3). ICD-10 includes a list of morphology codes. They stem from ICD-O second edition (ICD-O-2) that was valid at the time of publication."
Secondary Leukemia,"Axillary lymph node enlargement, non-infectious fever, easy bruising, fatigue, anemia, hematuria, fever with bleeding, repeated bleeding, signs of sepsis, bacteremia, septicemia","Acute myeloid leukemia (AML) is a cancer of the myeloid line of blood cells, characterized by the rapid growth of abnormal cells that build up in the bone marrow and blood and interfere with normal blood cell production. Symptoms may include feeling tired, shortness of breath, easy bruising and bleeding, and increased risk of infection. Occasionally, spread may occur to the brain, skin, or gums. As an acute leukemia, AML progresses rapidly, and is typically fatal within weeks or months if left untreated.
Risk factors include getting older, being male, smoking, previous chemotherapy or radiation therapy, myelodysplastic syndrome, and exposure to the chemical benzene."
Peptic Ulcer Perforation,"Abdominal pain, pallor, cold limbs, belching, nausea, vomiting with blood","Gastrointestinal perforation, also known as gastrointestinal rupture, is a hole in the wall of the gastrointestinal tract. The gastrointestinal tract is composed of hollow digestive organs leading from the mouth to the anus. Symptoms of gastrointestinal perforation commonly include severe abdominal pain, nausea, and vomiting. Complications include a painful inflammation of the inner lining of the abdominal wall and sepsis.
Perforation may be caused by trauma, bowel obstruction, diverticulitis, stomach ulcers, cancer, or infection."
Deficiency Asthma (Xu Chuan),"Sweating, fatigue, lethargy, mouth opening with shoulder lifting","Autophagy protein 5 (ATG5) is a protein that, in humans, is encoded by the ATG5 gene located on chromosome 6. It is an E3 ubi autophagic cell death. ATG5 is a key protein involved in the extension of the phagophoric membrane in autophagic vesicles.  It is activated by ATG7 and forms a complex with ATG12 and ATG16L1.  This complex is necessary for LC3-I (microtubule-associated proteins 1A/1B light chain 3B) conjugation to PE (phosphatidylethanolamine) to form LC3-II (LC3-phosphatidylethanolamine conjugate)."
Arsine-induced Hemolytic Anemia,"Hepatomegaly, Malignant Anemia, Anemic Appearance","Hemolytic anemia or haemolytic anaemia is a form of anemia due to hemolysis, the abnormal breakdown of red blood cells (RBCs), either in the blood vessels (intravascular hemolysis) or elsewhere in the human body (extravascular). This most commonly occurs within the spleen, but also can occur in the reticuloendothelial system or mechanically (prosthetic valve damage). Hemolytic anemia accounts for 5% of all existing anemias. It has numerous possible consequences, ranging from general symptoms to life-threatening systemic effects. The general classification of hemolytic anemia is either intrinsic or extrinsic."
Pneumococcal Pneumonia,"High fever, chills, muscle soreness, poor appetite, fatigue, restlessness, moaning, and shortness of breath","Pneumococcal pneumonia is a type of bacterial pneumonia that is caused by Streptococcus pneumoniae (pneumococcus). It is the most common bacterial pneumonia found in adults, the most common type of community-acquired pneumonia, and one of the common types of pneumococcal infection. The estimated number of Americans with pneumococcal pneumonia is 900,000 annually, with almost 400,000 cases hospitalized and fatalities accounting for 5-7% of these cases.


== Symptoms ==
The symptoms of pneumococcal pneumonia can occur suddenly, presenting as a severe chill, followed by a severe fever, cough, shortness of breath, rapid breathing, and chest pains. Other symptoms like nausea, vomiting, headache, fatigue, and muscle aches could also accompany initial symptoms."
Secondary Peritonitis,"Abdominal pain, nausea and vomiting, peritonitis signs, cough, pallor, rapid breathing, cyanosis of the lips, drop in blood pressure, metabolic acidosis, shock, acute illness appearance, abdominal distention","Peritonitis is inflammation of the localized or generalized peritoneum, the lining of the inner wall of the abdomen and covering of the abdominal organs. Symptoms may include severe pain, swelling of the abdomen, fever, or weight loss. One part or the entire abdomen may be tender. Complications may include shock and acute respiratory distress syndrome.
Causes include perforation of the intestinal tract, pancreatitis, pelvic inflammatory disease, stomach ulcer, cirrhosis, a ruptured appendix or even a perforated gallbladder."
